assay_name	compound_pubchem_cid	sig_id	col_id
tox21-aromatase-p1	CID_177	CRCGN004_MCF7_6H:BRD-K77914232-001-01-3:20.8	1
tox21-aromatase-p1	CID_2265	CRCGN004_MCF7_6H:BRD-K32821942-001-17-1:20.2	2
tox21-aromatase-p1	CID_11289	CRCGN004_MCF7_6H:BRD-K27062708-001-20-7:19.9	3
tox21-aromatase-p1	CID_5743	CRCGN004_MCF7_6H:BRD-A35108200-001-12-0:20.2	4
tox21-aromatase-p1	CID_9782	CRCGN004_MCF7_6H:BRD-A35108200-001-12-0:20.2	4
tox21-aromatase-p1	CID_5280961	CRCGN004_MCF7_6H:BRD-K43797669-001-17-1:19.7	5
tox21-aromatase-p1	CID_5754	CRCGN004_MCF7_6H:BRD-A73635141-001-08-5:20.2	6
tox21-aromatase-p1	CID_5281034	CRCGN004_MCF7_6H:BRD-A93291428-001-01-2:20.2	7
tox21-aromatase-p1	CID_992	CRCGN004_MCF7_6H:BRD-K50711164-001-11-5:19.7	8
