assay_name	compound_pubchem_cid	sig_id	col_id
tox21-aromatase-p1	CID_2082	MUC.CP005_MCF7_6H:BRD-K79131256-001-03-9:1.1111	1
tox21-aromatase-p1	CID_60823	ASG003_MCF7_6H:G08	2
tox21-aromatase-p1	CID_6450551	ASG003_MCF7_6H:C08	3
tox21-aromatase-p1	CID_2265	ASG003_MCF7_6H:J23	4
tox21-aromatase-p1	CID_387447	LKCP001_MCF7_6H:C17	5
tox21-aromatase-p1	CID_156414	LKCP002_MCF7_6H:M08	6
tox21-aromatase-p1	CID_25429	LKCP002_MCF7_6H:N17	7
tox21-aromatase-p1	CID_119182	LKCP001_MCF7_6H:M08	8
tox21-aromatase-p1	CID_969516	LPROT002_MCF7_6H:BRD-K74148702:1	9
tox21-aromatase-p1	CID_28417	LKCP001_MCF7_6H:P11	10
tox21-aromatase-p1	CID_30323	ASG003_MCF7_6H:O20	11
tox21-aromatase-p1	CID_5743	LKCP002_MCF7_6H:E08	12
tox21-aromatase-p1	CID_9782	LKCP002_MCF7_6H:E08	12
tox21-aromatase-p1	CID_2724385	ASG003_MCF7_6H:D11	13
tox21-aromatase-p1	CID_10219	ASG003_MCF7_6H:J05	14
tox21-aromatase-p1	CID_223368	ASG003_MCF7_6H:C17	15
tox21-aromatase-p1	CID_176870	ASG003_MCF7_6H:B17	16
tox21-aromatase-p1	CID_6442177	LKCP001_MCF7_6H:K02	17
tox21-aromatase-p1	CID_60198	LKCP001_MCF7_6H:O14	18
tox21-aromatase-p1	CID_3334	MUC.CP006_MCF7_6H:BRD-K51318897-001-05-4:1.1111	19
tox21-aromatase-p1	CID_23663976	LKCP002_MCF7_6H:L11	20
tox21-aromatase-p1	CID_446155	LKCP002_MCF7_6H:L11	20
tox21-aromatase-p1	CID_11273	LKCP001_MCF7_6H:N20	21
tox21-aromatase-p1	CID_104741	LKCP001_MCF7_6H:J17	22
tox21-aromatase-p1	CID_441140	LKCP002_MCF7_6H:N23	23
tox21-aromatase-p1	CID_443943	LKCP002_MCF7_6H:A20	24
tox21-aromatase-p1	CID_5311217	LKCP002_MCF7_6H:P08	25
tox21-aromatase-p1	CID_126565	MUC.CP003_MCF7_6H:BRD-K23192422-001-01-1:1.1111	26
tox21-aromatase-p1	CID_6741	LKCP002_MCF7_6H:P14	27
tox21-aromatase-p1	CID_4477	HOG002_MCF7_6H:BRD-K35960502-001-10-1:1.11	28
tox21-aromatase-p1	CID_4122	ASG003_MCF7_6H:I02	29
tox21-aromatase-p1	CID_439501	LKCP002_MCF7_6H:O08	30
tox21-aromatase-p1	CID_26596	ASG003_MCF7_6H:A14	31
tox21-aromatase-p1	CID_9826528	LKCP001_MCF7_6H:J14	32
tox21-aromatase-p1	CID_4788	HOG002_MCF7_6H:BRD-K15563106-001-08-1:1.11	33
tox21-aromatase-p1	CID_5035	LKCP002_MCF7_6H:I02	34
tox21-aromatase-p1	CID_56840936	LKCP001_MCF7_6H:D23	35
tox21-aromatase-p1	CID_10127622	ASG003_MCF7_6H:E05	36
tox21-aromatase-p1	CID_54454	ASG003_MCF7_6H:J17	37
tox21-aromatase-p1	CID_5284616	LKCP001_MCF7_6H:E02	38
tox21-aromatase-p1	CID_108143	ASG003_MCF7_6H:C11	39
tox21-aromatase-p1	CID_2733526	LKCP001_MCF7_6H:H20	40
tox21-aromatase-p1	CID_2733525	LKCP001_MCF7_6H:H20	40
tox21-aromatase-p1	CID_3038522	ASG003_MCF7_6H:D14	41
tox21-aromatase-p1	CID_65399	MUC.CP003_MCF7_6H:BRD-K80431395-001-02-4:1.1111	42
tox21-aromatase-p1	CID_5732	ASG003_MCF7_6H:A11	43
